province,city,district
北京,平谷,
北京,怀柔,
北京,大兴,
北京,昌平,
北京,顺义,
北京,通州,
北京,房山,
北京,门头沟,
北京,海淀,
北京,石景山,
北京,丰台,
北京,朝阳,
北京,宣武,
北京,崇文,
北京,西城,
北京,东城,
北京,延庆,
北京,密云,
天津,大港,
天津,汉沽,
天津,塘沽,
天津,红桥,
天津,河北,
天津,南开,
天津,河西,
天津,河东,
天津,和平,
天津,宝坻,
天津,武清,
天津,北辰,
天津,津南,
天津,西青,
天津,东丽,
天津,蓟县,
天津,静海,
天津,宁河,
上海,普陀,
上海,静安,
上海,长宁,
上海,徐汇,
上海,卢湾,
上海,黄浦,
上海,奉贤,
上海,南汇,
上海,青浦,
上海,松江,
上海,金山,
上海,浦东,
上海,嘉定,
上海,宝山,
上海,闵行,
上海,杨浦,
上海,虹口,
上海,闸北,
上海,崇明,
重庆,渝中,
重庆,涪陵,
重庆,万州,
重庆,南川,
重庆,永川,
重庆,合川,
重庆,江津,
重庆,长寿,
重庆,黔江,
重庆,巴南,
重庆,渝北,
重庆,双桥,
重庆,万盛,
重庆,北碚,
重庆,南岸,
重庆,九龙坡,
重庆,沙坪坝,
重庆,江北,
重庆,大渡口,
重庆,巫山,
重庆,奉节,
重庆,云阳,
重庆,开县,
重庆,忠县,
重庆,武隆,
重庆,垫江,
重庆,丰都,
重庆,城口,
重庆,梁平,
重庆,璧山,
重庆,荣昌,
重庆,大足,
重庆,铜梁,
重庆,潼南,
重庆,綦江,
重庆,彭水,
重庆,酉阳,
重庆,秀山,
重庆,石柱,
重庆,巫溪,
海南,海口,"秀英,龙华,琼山,美兰"
海南,三亚,"吉阳,崖州,天涯,海棠"
海南,三沙,"西沙,中沙,南沙"
海南,儋州,"那大,南丰,雅星,和庆,大成,新州,光村,东成,中和,峨蔓,兰洋,王五,排浦,海头,木棠,白马井,三都"
海南,五指山,"冲山,通什,南圣,毛阳,番阳,畅好,毛道,水满"
海南,琼海,"嘉积,中原,博鳌,潭门,长坡,万泉,塔洋,大路,阳江,龙江,会山,石壁"
海南,文昌,"文城,重兴,蓬莱,会文,东路,潭牛,东阁,文教,东郊,龙楼,昌洒,翁田,抱罗,冯坡,锦山,铺前,公坡"
海南,万宁,"万城,龙滚,山根,和乐,后安,大茂,东澳,礼纪,长丰,北大,南桥,三更罗"
海南,东方,"八所,东河,大田,感城,板桥,三家,四更,新龙,天安,江边"
海南,定安,"定城,新竹,龙湖,黄竹,雷鸣,龙门,岭口,翰林,龙河,富文"
海南,屯昌,"屯城,新兴,枫木,乌坡,南吕,南坤,坡心,西昌"
海南,澄迈,"金江,瑞溪,永发,老城,加乐,文儒,福山,桥头,中兴,仁兴,大丰"
海南,临高,"临城,波莲,东英,博厚,皇桐,多文,和舍,南宝,新盈,调楼,加来"
海南,白沙,"牙叉,七坊,邦溪,打安"
海南,昌江,"石碌,叉河,十月田,乌烈,昌化,海尾,七叉"
海南,乐东,"抱由,万冲,大安,志仲,千家,九所,利国,黄流,佛罗,尖峰,莺歌海"
海南,陵水,"椰林,新村,英州,本号,隆广,三才,光坡,文罗,黎安,提蒙乡"
海南,保亭,"保城,什玲,加茂,响水,新政,三道"
海南,琼中,"营根,湾岭,黎母山,红毛,长征,中平,和平"
海南,洋浦,
